Abbreviation,Number,Full Title,Raw Credits,Min Credits,Max Credits,Has Credit Range,Gen-Eds,Full Description
AERO,101,Heritage and Values of the United States Air Force,1.0,1.0,1.0,False,[],"Part one of a two-part course that examines the opportunities of an Air Force officer, as well as the structure and function of the Air Force. Grading status: Letter grade. "
AERO,102,Heritage and Values of the United States Air Force,1.0,1.0,1.0,False,[],"Part two of a two-part course that examines the opportunities of an Air Force officer, as well as the structure and function of the Air Force. Grading status: Letter grade. "
AERO,190,Seminar,13.0,1.0,3.0,True,[],Seminar in topics related to the United States Air Force. Repeat rules: May be repeated for credit. 6 total credits. 2 total completions. Grading status: Letter grade. 
AERO,196,Independent Study,13.0,1.0,3.0,True,[],Readings and research of topics regarding the United States Air Force. Repeat rules: May be repeated for credit. 6 total credits. 2 total completions. Grading status: Letter grade. 
AERO,201,Team and Air Force Leadership Fundamentals,1.0,1.0,1.0,False,[],This course lays the foundation for leading effective teams and developing leadership skills. Grading status: Letter grade. 
AERO,202,Team and Air Force Leadership Fundamentals II,1.0,1.0,1.0,False,[],This course continues to lay the foundation for leading effective teams and developing leadership skills. Grading status: Letter grade. 
AERO,213,Air Power and Modern Warfare,3.0,3.0,3.0,False,"['HS', 'GL']","Examines air power theory and practice from 1914 to the present. Focuses on the application of air power as an instrument of war and the effectiveness of that application. Gen Ed: HS, GL. Grading status: Letter grade. Same as: HIST 213, PWAD 213. "
AERO,301,Leading People and Effective Communication I,3.0,3.0,3.0,False,['CI'],"Part one of a two-part course concerning contemporary leadership and management of the Air Force Officer. Requisites: Prerequisites, AERO 101, 102, 201, and 202. Gen Ed: CI. Grading status: Letter grade. "
AERO,302,Leading People and Effective Communication II,3.0,3.0,3.0,False,['CI'],"Part two of a two-part course concerning contemporary leadership and management of the Air Force Officer. Requisites: Prerequisites, AERO 101, 102, 201, and 202. Gen Ed: CI. Grading status: Letter grade. "
AERO,393,Air and Space Expeditionary Training,1.0,1.0,1.0,False,['EE- Field Work'],"Provides leadership training in a military environment. Professional development is achieved through academics, physical fitness, marksmanship, and leadership exercises. Course reviews leadership lessons in a simulated expeditionary deployment to a combat zone. Restricted to ROTC cadets from all services. Gen Ed: EE- Field Work. Grading status: Letter grade. "
AERO,401,National Security Affairs and Preparation for Active Duty,3.0,3.0,3.0,False,[],"Part one of a two-part class that examines the basic elements of national security policy and process issues relevant to new Air Force officers. Requisites: Prerequisites, AERO 101, 102, 201, and 202. Grading status: Letter grade. "
AERO,402,National Security Affairs and Preparation for Active Duty,3.0,3.0,3.0,False,[],"Part two of a two-part class that examines the basic elements of national security policy and process issues relevant to new Air Force officers. Requisites: Prerequisites, AERO 101, 102, 201, 202, 301, and 302. Grading status: Letter grade. "
AERO,500,Leadership Laboratory,0.0,0.0,0.0,False,[],"Required for all AFROTC cadets. The purpose of the LLAB program is to augment  the AFROTC academic curriculum by providing prospective Air Force officers the opportunities and feedback needed to develop the leadership, managerial, and supervisory skills required of successful Air Force officers. The laboratory also offers insight into career opportunities in the USAF, life, and work of the USAF junior officer, and military ceremonies. Repeat rules: May be repeated for credit. Grading status: Letter grade. "

AAAD,50,First-Year Seminar: Defining Blackness,3.0,3.0,3.0,False,"['SS', 'US']","Blackness and whiteness as racial categories have existed in the United States from the earliest colonial times, but their meanings have shifted and continue to shift. Over the semester we will attempt to define and redefine blackness in the United States. Gen Ed: SS, US. Grading status: Letter grade. "
AAAD,51,First-Year Seminar: Masquerades of Blackness,3.0,3.0,3.0,False,"['VP', 'US']","This course is designed to investigate how race has been represented in cinema historically with a emphasis on representations of race when blackness is masqueraded. Gen Ed: VP, US. Grading status: Letter grade. "
