Full name,Abbreviation
AEROSPACE STUDIES (AERO),AERO
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD
AMERICAN STUDIES (AMST),AMST
ANTHROPOLOGY (ANTH),ANTH
APPLIED SCIENCES (APPL),APPL
ARABIC (ARAB),ARAB
ARCHAEOLOGY (ARCH),ARCH
ARMY (ARMY),ARMY
ART HISTORY (ARTH),ARTH
ASIAN STUDIES (ASIA),ASIA
ASTRONOMY (ASTR),ASTR
BIOCHEMISTRY (BIOC),BIOC
BIOINFORMATICS AND COMPUTATIONAL BIOLOGY (BCB),BCB
BIOLOGICAL AND BIOMEDICAL SCIENCES (BBSP),BBSP
BIOLOGY (BIOL),BIOL
BIOMEDICAL ENGINEERING (BMME),BMME
BIOSTATISTICS (BIOS),BIOS
BOSNIAN-CROATIAN-SERBIAN (BCS),BCS
BUSINESS ADMINISTRATION (BUSI),BUSI
CATALAN (CATA),CATA
CELL AND DEVELOPMENT BIOLOGY (CBIO),CBIO
CELL BIOLOGY AND PHYSIOLOGY (CBPH),CBPH
CHEMICAL BIOLOGY AND MEDICINAL CHEMISTRY (CBMC),CBMC
CHEMISTRY (CHEM),CHEM
CHEROKEE (CHER),CHER
CHICHEWA (CHWA),CHWA
CHINESE (CHIN),CHIN
CITY AND REGIONAL PLANNING (PLAN),PLAN
CLASSICAL ARCHAEOLOGY (CLAR),CLAR
CLASSICS (CLAS),CLAS
CLINICAL LABORATORY SCIENCE (CLSC),CLSC
CLINICAL REHABILITATION AND MENTAL HEALTH COUNSELING (CRMH),CRMH
COMMUNICATION STUDIES (COMM),COMM
COMPARATIVE LITERATURE (CMPL),CMPL
COMPUTER SCIENCE (COMP),COMP
CONTEMPORARY EUROPEAN STUDIES (EURO),EURO
CZECH (CZCH),CZCH
DENTAL GRADUATE COURSE (DENG),DENG
DENTAL HYGIENE (DHYG),DHYG
DENTAL HYGIENE EDUCATION (DHED),DHED
DRAMATIC ART (DRAM),DRAM
